Employer,City,Zip Code,LWIB Area,Notice Date
District medical Group (DMG)  ,Phoenix  ,85008  ,5  ,11/14/2019 
Ditech Financial LLC  ,Tempe  ,85282  ,7  ,12/16/2019 
"Dole Fresh Vegetables, Inc.  ",Yuma  ,85365  ,9  ,08/27/2010 
Doubletree Suites by Hilton Phoenix  ,Phoenix  ,85008  ,5  ,04/15/2020 
Dragoon  ,Wilcox  ,85600  ,1  ,05/18/2020 
Dream Center Education Holdings  ,Phoenix  ,85201  ,5  ,06/29/2018 
Drive Time  ,Phoenix  ,85040  ,5  ,03/27/2020 
Drive Time  ,Phoenix  ,85040  ,5  ,03/27/2020 
Dun & Bradstreet  ,Tucson  ,85701  ,6  ,10/29/2019 
Dyncorp  ,Tucson  ,85704  ,6  ,01/15/2020 
Embassy Suites by Hilton Scottsdale Resort  ,Scottsdale  ,85250  ,7  ,04/30/2020 
Embassy Suites Hotel (Phoenix)  ,Phoenix  ,85008  ,7  ,06/14/2010 
Embassy Suites Tempe  ,Tempe  ,85282  ,5  ,03/18/2020 
"Enterprise Recovery Ststems, Inc  ",Oak Brook  ,60523  ,7  ,03/31/2015 
Essity North America LLC  ,Bellemont  ,86015  ,10  ,09/18/2018 
Estrellita Child Care center  ,San Luis  ,85336  ,9  ,04/07/2020 
Evolution Hospitality  ,sedona  ,85325  ,10  ,04/03/2020 
Fairmont Scottsdale Princess  ,Scottsdale  ,85255  ,7  ,06/08/2020 
FEAST American Diners  ,Phoenix  ,85010  ,7  ,03/23/2020 
First Solar  ,Tempe  ,85281  ,7  ,10/30/2019 
Flagstaff DoubleTree  ,Flagstaff  ,86001  ,10  ,04/02/2020 
"Flying Food Group, LLC  ",Phoenix  ,85003  ,5  ,04/10/2020 
Fortner Aerospace/PCC Aerostuructures  ,Prescott  ,86301  ,12  ,12/04/2013 
FosterCare NAZ  ,Phoenix  ,85009  ,7  ,05/18/2020 
Four Seasons Resort  ,Scottsdale  ,85262  ,7  ,03/20/2020 
Freeport-McMoRan  ,Phoenix  ,85004  ,14  ,08/27/2015 
Freeport-McMoRan Sierrita Inc.  ,Phoenix  ,85004  ,6  ,10/22/2015 
Fruit Growers Supply  ,Yuma  ,85365  ,9  ,05/29/2020 
G/O Digital  ,Phoenix  ,85004  ,5  ,09/20/2018 
Gannett Satellite Information Network  ,Phoenix  ,85004  ,5  ,09/26/2018 
GBT US LLC  ,Scottsdale  ,85254  ,7  ,04/13/2020 
GE Capital  ,Phoenix  ,85040  ,5  ,01/15/2014 
GENCO  ,Pittsburgh  ,15238  ,7  ,03/29/2016 
Geneeral Dynamics Information Technology  ,Fairfax  ,22030  ,6  ,07/17/2013 
General Dynamics Information Technology  ,Fairfax  ,22031  ,5  ,03/06/2014 
General Dynamics Information Technology  ,Fort Huachuca  ,85613  ,1  ,02/26/2019 
GenRx Phamacy  ,Scottsdale  ,85255  ,7  ,09/19/2018 
Global Solar  ,Tucson  ,85747  ,6  ,10/24/2019 
"Global Solar Energy, Inc.  ",Tucson  ,85747  ,6  ,07/19/2012 
GNC Live Well  ,Phoenix  ,85043  ,5  ,10/10/2013 
GO Digital  ,Phx  ,85004  ,5  ,11/17/2016 
Go Rentals  ,Newport  ,92660  ,7  ,03/23/2020 
"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,6  ,01/11/2016 
"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,2  ,01/11/2016 
"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,7  ,01/11/2016 
"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,10  ,01/11/2016 
"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,14  ,01/11/2016 
"Golden EagleDistributors, Inc.  ",Tucson  ,27506  ,7  ,01/11/2016 
Great Wolf Lodge  ,Scottsdale  ,85258  ,7  ,03/30/2020 
Greenbrier Rail Services  ,Lake Oswego  ,97035  ,6  ,05/05/2013 
