Company,City,Effective Date,Workforce Affected
FIS Management Services,Carlstadt,8/6/2019,56
Media Matters For America,WASHINGTON,8/1/2017,1
XPO Logistics,Swedesboro,8/16/2019,269
Baker & Taylor,Bridgewater,7/3/2019,244
Gateway Community Action Partnership,Bridgeton,6/30/2019,169
"Johnson & Johnson Consumer, Inc.",New Brunswick,7/15/2019,61
Ryder,Avenel,8/2/2019,44
"The Dress Barn, Inc.; DBX, Inc., a subsidiary of The Dress Barn, Inc.; Ascena Retail Group, Inc.",Mahwah,7/22/2019,61
"Ethan Allen Operations, Inc.,",Passaic,6/15/2019,55
Exelon Generation,Forked River,6/30/2019,65
"J.C. Penney Corporation, Inc.",Mays Landing,7/6/2019,81
Walmart Inc.,Ledgewood,4/10/2019,143
Clover Health,Jersey City,5/28/2019,64
Eurest Services Inc/Compass Group USA,Dayton,6/1/2019,66
"Anheuser-Busch Sales of New Jersey,LLC",Jersey City,4/23/2019,80
Dubell Lumber,Medford,2/9/2019,157
"H. D. Smith, LLC",Kearny,4/5/2019,66
Nestlé USA,Florham Park,5/4/2019,2
New England Motor Freight,Elizabeth,2/15/2019,1690
Spectrum Pharmaceuticals,Henderson,3/15/2019,2
1266 Apartment Corporation (Horizon House),Fort Lee,4/18/2019,78
"Allied Beverage Group, LLC",Trenton,3/20/2019,71
"Allied Beverage Group, LLC",Mt. Laurel,2/2/2019,37
Aqua Products,Cedar Grove,4/1/2019,79
Capital Health,Trenton,3/8/2019,103
"Customer Engineering Services, LLC",Edison,3/8/2019,35
"Customer Engineering Services, LLC",Edison,1/7/2019,35
"DSJ Holding, Inc. (f/k/a Bridgewater Wholesalers, Inc.)",Bridgewater,3/31/2019,133
Dedicated Management Group,Carneys Point,2/8/2019,107
Nestlé Nutrition USA,Florham Park,4/1/2019,62
Petland Discounts,Irvington,3/19/2019,30
Petland Discounts,Orange,3/19/2019,30
Petland Discounts,Westwood,3/19/2019,30
Petland Discounts,Jersey City,3/19/2019,30
Petland Discounts,North Bergen,3/19/2019,30
Petland Discounts,Newark,3/19/2019,30
Petland Discounts,Elizabeth,3/19/2019,30
Petland Discounts,Paterson,3/19/2019,30
Petland Discounts,West New York,3/19/2019,30
Petland Discounts,Bayonne,3/19/2019,30
"Siemens Demag Delaval Turbomachinery, Inc",Hamilton,3/29/2019,35
Winberie's Restaurant and Bar,Princeton,1/21/2019,43
"Allied Beverage Group, LLC",Mt. Laurel,3/20/2019,58
"Conagra Brands, Inc.",Parsippany,3/22/2019,308
"Conagra Brands, Inc.",Cherry Hill,5/24/2019,196
"IQE RF, LLC",Somerset,1/31/2019,22
CA Technologies,Ewing,1/7/2019,54
Salem Clinic Corporation,Salem,12/31/2018,11
Salem Clinic Corporation,Salem,12/31/2018,28
"Salem Home Care Services, LLC",Salem,12/31/2018,19
Salem Hospital Corporation,Salem,12/31/2018,339
"Salem Medical Professionals, P.C.",Salem,12/31/2018,11
Sun Pharma,Cranbury,1/31/2019,96
Agfa Corporation,Somerville,12/26/2018,125
NSC National Wholesale Liquidators,Lodi,1/1/2019,152
Sears Auto Store 06494,Deptford,12/31/2018,10
"Sears, Roebuck and Company",Deptford,12/31/2018,77
"Sears, Roebuck and Compay",Middletown,12/31/2018,57
Solix,Parsippany,12/31/2018,149
Virtua Center for HealthFitness Washington Township,,,
ABM Aviation,Newark,11/1/2018,821
Lord & Taylor,Eatontown,1/31/2019,124
Seaview Dolce Hotel,Galloway,11/26/2018,229
"Nestle Waters North Ameriaca, Inc.",Kearny,10/1/2018,175
Sears Auto Center,Mays Landing,11/25/2018,12
"Sears, Roebuck and Co.",Mays Landing,11/25/2018,51
HMS Host,Trenton,9/14/2018,287
"Natirar Resort Development, LLC",Peapack & Gladstone,9/30/2018,160
Toys,Wayne,8/15/2018,212
"Van Dyk Health Care, Inc.",Ridgewood,9/12/2018,216
hikma,,,
Aramark,Plainfield,6/29/2018,13
Crestron Electronics,Rockleigh,2/2/2019,50
JP Morgan Chase & Company,Jersey City,8/12/2018,58
Kmart,Clifton,9/2/2018,103
Lawns Etc.,Wildwood,12/31/2017,1
Majestic Rehabilitation and Nursing Center,Jersey City,9/5/2018,166
"Preferred Display, Inc.",Clifton,8/30/2018,75
Restaurant Associates,East Rutherford,7/31/2018,73
TE Connectivity,Budd Lake,8/31/2018,43
Toys,Wayne,8/15/2018,184
Apple Inc.,Atlantic City,7/25/2018,52
"Exelon Generation Company, LLC",Forked River,6/22/2018,84
"Mimeo.com, Inc.",Newark,7/7/2018,116
Tahari ASL LLC,Millburn,7/30/2018,101
Tory Burch LLC,Jamesburg,7/31/2018,64
"Aramark Campus Services, LLC",Lawrenceville,6/30/2018,147
GEO REENTRY SERVICES LLC,Newark,6/8/2018,54
Lakewood Pathology Associates Inc. d/b/a Inform Diagnostics,Union,6/8/2018,117
"Maggy London International, Ltd.",East Rutherford,6/29/2018,80
"MedPlast West Berlin, Inc.",West Berlin,6/30/2018,67
Mercedes-Benz,Montvale,6/29/2018,115
"Nine West Holdings, Inc.",West Deptford,6/4/2018,102
Personal Touch HOme Care,Neptune,5/18/2018,53
Personal Touch Home Care,Roselle Park,5/18/2018,100
Personal Touch Home Care of NJ,Union City,5/18/2018,28
West-Ward Pharmacueticals Corp,,,
Amazon,Jersey City,5/31/2018,77
Cintas Corporation,Belleville,5/31/2018,49
"Cintas Corporation No, 2",Belleville,5/31/2018,49
E.I.DuPont de Nemours and Company,Deepwater,5/31/2018,103
FMC Corporation,Philadelphia,9/30/2018,53
"Personal-Touch Home Care of N.J., Inc.",Bloomfield,5/18/2018,276
Teva Pharmaceuticals,Elizabeth,5/15/2018,101
Toys R Us,Flanders,5/14/2018,473
Toys R Us,Wayne,5/14/2018,1159
International Vitamin Corporation,Freehold,5/11/2018,160
WALMART INC,BRANCHBURG,4/13/2018,149
"Wyndham Worldwide Operations, Inc.",Parsippany,4/21/2018,134
"Allergan, Inc",Madison,3/16/2018,308
"J.C. Penney Corporation, Inc.",Paramus,3/11/2018,144
MOL (America) Inc.,Woodbridge,3/30/2018,32
McKesson Corporation,Delran,3/31/2018,102
"NYK (North America), Inc.",Secaucus,3/31/2018,75
"PHH Home Loans, LLC",Mt. Laurel,3/23/2018,78
RAB Lighting,Northvale,3/9/2018,121
Sam's Club,Linden,1/11/2018,187
Sam's Club,Budd Lake,1/11/2018,144
Sam's Club,Princeton,1/26/2018,196
Sears Holdings,Toms River,4/8/2018,49
"Shiel Holdings, LLC",Rockleigh,1/31/2018,538
Teva Pharmaceuticals,,,
Axeon Specialty Products LLC,Paulsboro,2/1/2018,5
Fidelity Care Inc.,Garfield,2/17/2018,147
Giles & Ransome,Hammonton,2/5/2018,67
Louis Vuitton USA Inc.,Atlantic City,1/3/2018,6
The Medicines Company,Parsippany,2/14/2018,18
"Aerogroup International, Inc.",Edison,1/8/2018,141
ImClone Systems LLC,Branchburg,1/31/2018,77
Lux Home,West Caldwell,1/19/2018,137
Zenith Education Group,South Plainfield,1/8/2018,41
Bristol-Myers Squibb,New Brunswick,12/31/2017,61
CVS Health,East Northport,12/15/2017,12
Eli Lilly,Bridgewater,1/31/2018,78
Hospital Central Services Cooperative - Laundry,Camden,11/28/2017,81
Maserati North America,Englewood Cliffs,12/22/2017,1
Tessler & Weiss,Union,12/31/2017,150
"Vitamin Shoppe Industries, Inc.",North Bergen,12/1/2017,139
Hard Rock Cafe,Atlantic City,11/1/2017,96
"Shiel Holdings, LLC",Rockleigh,12/31/2017,538
St. Joseph's Regional Medical Center:DSS Program,Paterson,10/13/2017,8
Bergen Regional Medical Center,Paramus,9/30/2017,0
Blue Apron,Jersey City,10/6/2017,1270
Bristol-Myers Squibb,Lawrence Township,10/6/2017,58
Command Security Corporation,Los Angeles,8/31/2017,113
"JHT Corporation (f/k/a JPC Enterprises, Inc. t/a Jersey Paper Plus)",Edison,10/28/2017,111
Maserati North America,Englewood Cliffs,10/10/2017,2
RDSL Urban NY LLC,Carlstadt,11/14/2017,8
S.S. White Technologies,Piscataway,10/15/2017,126
Sears Holdings,Watchung,9/17/2017,126
Compass Group USA d/b/a FLIK Lifestyles,Voorhees,8/26/2017,101
Davlyn,Monroe Township,10/30/2017,115
Holiday Inn - Cherry Hill,Cherry Hill,6/29/2017,82
Kellogg's,Cranbury,7/29/2017,316
"Maserati North America, Inc.",Englewood Cliffs,8/11/2017,32
Mount Laurel Center,Mount Laurel,7/16/2017,323
"Siemens PPAL, LLC (Newark Internation Airport O & M Contract)",Newark,8/31/2017,63
The Medicines Company,Parsippany,8/1/2017,52
B & B Bachrach,Lawrence Twonship,8/6/2017,8
Covance Laboratories,West Trenton,10/31/2017,39
"Gannett Satellite Information Network, LLC",Neptune,7/3/2017,88
Novartis Pharmceuticals Corporation,East Hanover,7/28/2017,204
"Total Airport Services, LLC",Newark,7/7/2017,34
Dollar Express - Belmar,Belmar,6/30/2017,5
Dollar Express - Brigantine,Brigantine,6/30/2017,8
Dollar Express - Elizabeth (1),Elizabeth,6/30/2017,7
Dollar Express - Elizabeth (2),Elizabeth,6/30/2017,10
Dollar Express - Ewing,Ewing,6/30/2017,9
Dollar Express - Glassboro,Glassboro,6/30/2017,5
Dollar Express - Hamilton Township,Hamilton Township,6/30/2017,9
Dollar Express - Irvington,Ivrington,6/30/2017,10
Dollar Express - Mt. Holly,Mt. Holly,6/30/2017,6
Dollar Express - Newark (1),Newark,6/30/2017,14
Dollar Express - Newark (2),Newark,6/30/2017,13
Dollar Express - Paterson,PatersoN,6/30/2017,8
