Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Closing *,1/28/2011,2/4/2011,GENESEE TRISTARR INC.,Rogersville,69
Closing *,1/26/2011,4/4/2011,"ABB, INC.",Muscle Shoals,159
Layoff *,5/27/2011,8/31/2011,FLEXTRONICS AMERICAS LLC,Statewide,26
Closing *,12/6/2011,1/31/2012,BIRMINGHAM SOUTHERN RAILROAD COMPANY,Fairfield,181
Closing *,2/17/2011,4/15/2011,"ALABAMA AIRCRAFT INDUSTRIES, INC.",Birmingham,321
Closing *,6/9/2011,7/30/2011,ROCKTENN (FORMERLY SMURFIT STONE),Birmingham,77
Closing *,1/28/2010,4/12/2010,"NEW ERA CAP, DEMOPOLIS",Demopolis,351
Layoff *,1/20/2010,11/13/2009,BB&T CORP.,Montgomery,223
Closing *,12/10/2010,2/1/2011,SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),Huntsville,202
Closing *,12/29/2010,1/21/2011,LOPAREX,Cullman,70
Closing *,11/22/2010,1/18/2011,MICOLAS MILLS (JOHNSTON TEXTILES-2),Opp,135
Layoff *,11/1/2010,12/31/2010,"CATERPILLAR LOGISTICS, INC.",Vance,34
Layoff *,11/8/2010,1/6/2011,"MID-SOUTH ELECTRONICS, INC.",Gadsden,50
Closing *,10/27/2010,3/4/2010,APEX TOOL GROUP AKA NICHOLSON FILE,Cullman,66
Closing *,10/25/2010,12/20/2010,JELD-WEN INTERIOR DOORS,Hartselle,51
Layoff *,10/4/2010,10/29/2010,JOHNSON BROTHERS WINE COMPANY,Pelham,50
Closing *,10/4/2010,10/29/2010,JOHNSON BROTHERS WINE OF ALABAMA,Huntsville,25
Closing *,9/24/2010,11/28/2010,ARAMARK HEALTHCARE,Florence,201
Layoff *,8/5/2010,8/16/2010,"VANITY FAIR BRANDS, LP",Monroeville,68
Closing *,8/6/2010,9/30/2010,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,317
Layoff *,8/6/2010,9/30/2010,NORTHROP GRUMMAN,Redstone Arsenal,92
Closing *,7/23/2010,12/31/2010,BERRY PLASTICS COMPANY - COVALENCE SPECIALTY ADHES,Albertville,93
Layoff *,6/21/2010,8/19/2010,BASTION TECHNOLOGIES,Huntsville,124
Closing *,5/19/2010,10/30/2010,GE DOTHAN MOTOR PLANT,Dothan,65
Closing *,5/12/2010,5/12/2010,SIRSIDYNIX,Huntsville,64
Closing *,3/22/2010,4/30/2010,AUTO WAREHOUSING COMPANY,Lincoln,54
Closing *,4/8/2010,6/5/2010,REPAK SOUTH/PMDC SOUTH/GILDAN,Fort Payne,27
Closing *,2/24/2010,4/30/2010,VF JEANSWEAR,Holly Pond,148
Layoff *,2/24/2010,6/1/2010,JAY MID-SOUTH,Gadsden,75
Closing *,11/1/2010,12/27/2010,GAF MATERIALS CORP.,Mobile,61
Closing *,6/1/2010,7/31/2010,"DAIRY FRESH, INC.",Prichard,116
Layoff *,1/22/2010,7/1/2020,URS CORPORATION,Birmingham,134
Layoff *,11/2/2010,12/31/2010,"SUNGARD BUSINESS SYSTEMS, LLC",Birmingham,122
Closing *,8/25/2010,10/29/2010,"CAREMARK RX, LLC",Birmingham,369
Closing *,7/1/2010,8/30/2010,SITEL,Birmingham,432
Closing *,5/3/2010,4/30/2010,MCWANE CAST IRON PIPE COMPANY,Birmingham,117
Layoff *,3/9/2010,3/5/2010,MCWANE CAST IRON PIPE COMPANY,Birmingham,88
Closing *,2/3/2010,3/5/2010,"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC",Birmingham,244
Closing *,1/28/2010,3/31/2010,CONTACT US TELESERVICES,Birmingham,114
Layoff *,3/16/2009,3/6/2009,KV PHARMACEUTICAL COMPANY/THER-RX CORPORATION,Hoover,6
Closing *,3/14/2009,9/26/2008,WACHOVIA CORPORATION,Homewood,76
Closing *,2/28/2009,7/1/2020,SEARS HOLDINGS,Birmingham,15
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Montgomery,58
Layoff *,2/6/2009,3/1/2009,"STEVENS GRAPHICS, INC.",Birmingham,283
Layoff *,1/28/2009,12/1/2008,BIRMINGHAM SOUTHERN RAILROAD COMPANY,Fairfield,41
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Montgomery,60
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Orange Beach,40
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Spanish Fort,68
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Gulf Shores,63
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Fairhope,93
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Moody,62
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Tuscaloosa,72
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Prattville,51
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Tuscaloosa,55
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Jasper,67
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Monroeville,64
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Demopolis,62
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Gadsden,40
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Sylacauga,64
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Pell City,56
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Pelham,45
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Rainbow City,48
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Gadsden,35
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Tuscaloosa,64
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Cullman,49
