Date Received,Company Name,City,Layoff Date,# Affected
3/28/2020,Paper Source,Lynnfield,3/28/20,13
3/30/2020,Doubletree Boston North Shore,Danvers,3/14/20 - 3/31/20,204
3/30/2020,"America's Auto Auction Billerica, Inc.",North Billerica,3/17/20 - 4/30/20,201
4/4/2020,MA Dog and Cat LLC,Danvers,3/22/20,13
4/6/2020,"Middle East Bakery, Inc.",Lawrence,4/5/20,283
4/9/2020,"Johnny Appleseed's, Inc.",Middleton,4/17/20,19
4/9/2020,"HH Brown Shoe Co., Inc.",Andover,4/1/20,48
4/14/2020,"Beyond Finance, Inc.",Beverly,4/11/20 - 4/19/2020,386
4/17/2020,"Beyond Finance, Inc.(updated)",Beverly,4/17/20,386
4/20/2020,Chadwick-BaRoss Inc.,Chelmsford,4/21/20,5
4/21/2020,Friendly's Restaurant,Lawrence,3/30/20,27
4/22/2020,Atrius Health,Peabody,4/19/20,33
4/27/2020,"OS Restaurant Services, LLC","Lowell, Peabody, Tyngsboro & Methuen",3/15/20 - 4/27/20,266
5/7/2020,"Aramark Educational Services, LLC",Salem,7/17/20,135
5/7/2020,GLSS Transportation (Updated),Lynn (2 locations),6/27/20 - 6/28/20,300
5/14/2020,Brooks Brothers,Haverhill,7/20/20,413
5/19/2020,"Johnny Appleseed's, Inc. (Updated)",Middleton,5/22/2020,22
6/3/2020,UPDATED: Doubletree Boston North Shore,Danvers,6/2/20,150
6/8/2020,"Marriott Hotel Services, Inc. (Boston Marriott Peabody)",Peabody,3/21/20,110
6/10/2020,"UPDATED: Philips North America LLC (""Philips"")",Andover,8/10/20 - 8/17/20,53
6/11/2020,Mandarin Oriental Boston Hotel,Boston,6/9/20,138
8/19/2019,"Nestle USA, Inc./Nestle Dreyer's Ice Cream Company",Taunton,10/18/19,49
9/23/2019,Pancon Corporation,East Taunton,11/17/19,59
11/14/2019,UPDATED:  Pancon Corporation,East Taunton,12/31/19/,59
9/30/2019,Walmart,Hanover,12/6/19,82
10/3/2019,"DF Opco LLC (""Dari Farms"")",Whitman,10/2/19,85
11/14/2019,"Merritt Hospitality, LLC - Hyatt Place Boston/Braintree",Braintree,01/18/20 - 01/31/20,60
1/15/2020,Roche Brothers,Norton,On/Before 6/27/2020,T/B/D
1/29/2020,McKesson Corporation,Stoughton,1/3/20 - 6/5/20,95
1/30/2020,Pilgrim Nuclear Power Station,Plymouth,4/30/20,T/B/D
3/23/2020,"Destination XL Group, Inc.",Canton,4/2/20,245
3/27/2020,Coldwater Creek,Hingham,3/23/20 - 3/31/20,41
3/27/2020,A&M LLC,"Braintree, N. Attleboro, Auburn",3/17/20 - 3/18/20,76
3/31/2020,"MetaCoastal, LLC",Cape Cod,3/19/20,4
4/1/2020,Primark,Braintree,4/1/20,105
4/1/2020,Panera Bread,Dartmouth,3/16/20,47
4/7/2020,"Young Men's Christian Association, Inc. (Old Colony Y)",Brockton,3/17/20,73
4/21/2020,Friendly's Restaurant,Middleborough & Swansea,3/30/20,57
4/22/2020,Atrius Health,Braintree & Quincy,4/19/20,101
4/27/2020,"OS Restaurant Services, LLC",Randolph & Seekonk,3/15/20 - 4/27/20,117
6/17/2020,Bed Bath & Beyond Inc.,Middleboro,8/15/20,69
6/25/2020,Cape Cod Healthcare,Falmouth & Hyannis,5/10/20,415
9/10/2020,American Red Cross,Springfield; Worcester,11/8/19,52
3/9/2020,"Westfall Technik's (AGI Polymatrix, LLC)",Pittsfield,3/9/20 - 8/31/20,36
3/25/2020,HMS Host,Ludlow,3/20/20 - 4/1/20,42
3/27/2020,A&M  LLC,Holyoke,3/17/20,76
3/30/2020,"Iredale Cosmetics, Inc.",Great Barrington,4/1/20,47
4/1/2020,"Team Member Services, LLC",Hadley,3/27/20,10
4/6/2020,Vacation  Village in the Berkshires,Hancock,4/3/20,19
4/21/2020,Friendly's Restaurant,W. Springfield,3/30/2020,39
4/27/2020,"OS Restaurant Services, LLC",W. Springfield,3/15/20 - 4/27/20,127
4/30/2020,Crane Stationery,North Adams,6/29/20 - 9/30/20,229
5/1/2020,Providence Behavioral Health Hospital,Holyoke,6/30/20,202
5/5/2020,MGM Springfield,Springfield,8/31/20,1887
5/11/2020,Update: MGM Springfield,Springfield,8/31/20,1916
5/22/2020,Kripalu Center for Yoga & Health,Stockbridge,5/22/20,457
