NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,
25-May-16,Science Applications International Corp - Ft. Bliss,El Paso,Upper Rio Grande WDA,68,25-May-16,24-May-16,Fort Bliss,
25-May-16,RAS Services Inc.,Dallas,Dallas County WDA,112,31-Jul-16,25-May-16,Dallas,
25-May-16,Sports Authority-Mansfield2,Tarrant,Tarrant County WDA,20,16-Jun-16,25-May-16,Mansfield,
24-May-16,Boeing Company,Harris,Gulf Coast WDA,11,22-Jul-16,24-May-16,Houston,
24-May-16,Alcoa World Alumina,Calhoun,Golden Crescent WDA,137,23-Jul-16,27-May-16,Point Comfort,
20-May-16,"Lufkin Industries, LLC, (GE Oil & Gas/Power Transmission)",Angelina,Deep East Texas WDA,120,26-May-16,20-May-16,Lufkin,
20-May-16,OneMain Financial,Dallas,Dallas County WDA,116,31-Jul-16,24-May-16,Irving,
20-May-16,Alcoa World Alumina,Calhoun,Golden Crescent WDA,34,19-Jul-16,24-May-16,Point Comfort,
20-May-16,National Oilwell Varco -Galena Park,Harris,Gulf Coast WDA,54,18-Jul-16,24-May-16,Galena Park,
18-May-16,"KingsIsle Entertainment, Inc.",Travis,Capital Area WDA,72,12-May-16,19-May-16,Austin,
18-May-16,"Progressive Waste Solutions of TX, Inc.",Denton,North Central Texas WDA,76,01-Jun-16,19-May-16,Ft. Worth,
11-May-16,Ensco Offshore Co.,Harris,Gulf Coast WDA,350,11-May-16,11-May-16,Houston,
08-May-16,CompuCom Systems Inc.,Dallas,Dallas County WDA,6,15-Jul-16,08-May-16,Dallas,
06-May-16,Forest Park Medical Center - Ft Worth,Tarrant,Tarrant County WDA,175,20-May-16,12-May-16,Ft. Worth,
05-May-16,"Kennametal, Inc.",Harris,Gulf Coast WDA,65,05-Jul-16,09-May-16,Houston,
05-May-16,Homemade Real Foods,Tarrant,Tarrant County WDA,88,02-May-16,09-May-16,Ft. Worth,
05-May-16,"Anconnect, LLC.",Randall,Panhandle WDA,137,04-Jul-16,05-May-16,Amarillo,
05-May-16,Transamerica Life Insurance Co.-Houston,Harris,Gulf Coast WDA,54,12-Jul-16,05-May-16,Houston,
05-May-16,Sanjel (USA),Ector,Permian Basin WDA,312,31-May-16,17-May-16,Odessa,
05-May-16,Sanjel (USA) - Cibolo,Guadalupe,Alamo WDA,103,31-May-16,16-May-16,Cibolo,
02-May-16,Daiichi Sankyo,Tarrant,Tarrant County WDA,1,29-Apr-16,02-May-16,Westlake,
02-May-16,Sanjel (USA)- Houston,Harris,Gulf Coast WDA,11,31-May-16,17-May-16,Houston,
02-May-16,CompuCom Systems Inc.,Dallas,Dallas County WDA,85,01-Jul-16,03-May-16,Dallas,
02-May-16,Alcoa World Alumina,Calhoun,Golden Crescent WDA,60,27-Jun-16,09-May-16,Point Comfort,
29-Apr-16,Walmart-Ft. Worth,Tarrant,Tarrant County WDA,108,01-Jul-16,29-Apr-16,Ft. Worth,
29-Apr-16,Freeport-McMoRan Oil & Gas,Harris,Gulf Coast WDA,106,01-Jul-16,29-Apr-16,Houston,
