ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900370,Asbury Automotive,Roswell,30076,Fulton,49,3,04/03/2020
GA201900371,Asbury Automotive,Smyrna,30080,Cobb,64,4,04/03/2020
GA201900372,Asbury Automotive,Union City,30291,Fulton,26,3,04/03/2020
GA201900373,Asbury Automotive,Union City,30291,Fulton,36,3,04/03/2020
GA201900374,Asbury Automotive,Union City,30291,Fulton,26,3,04/03/2020
GA201900376,Benevis Dental Practice Management Services,marietta,30067,Cobb,158,4,03/23/2020
GA201900377,Candler Road Dental PC,Marietta,30067,Cobb,175,4,03/23/2020
GA201900378,"B&O Joint Venture, LLC",Glynco,31520,Glynn,100,20,03/31/2020
GA201900379,Uncle Julios,Atlanta,30309,Fulton,73,3,03/19/2020
PA201900001,North American Dental Group,New Castle,16101,Lawrence,360,0,03/23/2020
GA201900382,"Art Carpet, LLC",Chatsworth,30705,Murray,10,1,04/02/2020
GA201900389,Floor Covering Installation,CARTERSVILLE,30120,Bartow,2,1,04/11/2020
GA201900391,Pinnacle Staffing,Villa Rica,30180,Carroll,50,8,03/30/2020
GA201900395,Kelsey Hayes,Flowery Branch,30542,Hall,386,2,03/23/2020
GA201900396,"Suit Supply (USA), Inc",Atlanta,30326,Fulton,28,3,03/29/2020
GA201900398,"Mindbody, Inc.",Atlanta,30363,Fulton,89,3,04/03/2020
GA201900399,Beeline Canada Accessories,Atlanta,30309,Fulton,12,3,04/04/2020
GA201900400,CR&G LLC,Dalton,30720,Whitfield,22,1,03/22/2020
GA201900401,MATCO INC,DALTON,30722,Whitfield,20,1,04/04/2020
GA201900402,"Direct Auction Services, LLC",Fairburn,30213,Fulton,58,3,03/20/2020
GA201900404,My Stir Fry,Alpharetta,30009,Fulton,15,3,03/18/2020
GA201900405,Larson-Juhl US LLC,Norcross,30093,Gwinnett,71,7,03/31/2020
GA201900407,Big Daddy's Southern Cuisine,Atlanta,30303,Fulton,7,3,03/17/2020
IL201900002,Prospect International Airport Services Corp.,Atlanta,30320,Clayton,113,7,03/18/2020
GA201900409,"Beasley Media Group, LLC",Augusta,30909,Richmond,25,12,04/01/2020
GA201900423,C3 Culinary Group LLC,Covington,30016,Newton,10,9,03/02/2020
GA201900425,Phelan Hallinan Diamond & Jones,Alpharetta,30022,Fulton,4,3,03/27/2020
GA201900427,The Family Y of the CSRA,Augusta,30907,Richmond,165,12,03/25/2020
GA201900428,The Family Y of the CSRA,Augusta,30906,Richmond,36,12,03/25/2020
GA201900429,The Family Y of the CSRA,Augusta,30901,Richmond,20,12,03/25/2020
GA201900430,The Family Y of the CSRA,Evans,30809,Columbia,57,13,03/25/2020
