Company Name,Layoff Total,Workforce Local Area,WARN Date,Reason for Layoff,Occupations,Layoff Date(s)
Halliburton Energy Services Inc.,178,Mesa,10/7/2019,Mass Layoff,"Various: Drivers, Service Coordinators, Planners, Material Handlers, Mechanic Technicians, Parts Techs, Coordinators",10/7/2019
Backflip Studios,86,Boulder,10/23/2019,Closure,"Various: creative roles, management, engineers, product managers",12/23/2019
Oakwood Worldwide,1,Denver,10/29/2019,Mass Layoff,Operations Manager,12/30/2019
"Energes Services, LLC",121,Larimer,10/30/2019,Closure,"Various: Construction, Maintenece, Admin","10/30/2019, 11/8/2019, 11/22/2019, 11/29/2019"
Molson Coors,300,Denver,10/30/2019,Downsizing,Not disclosed in WARN,12/31/2019
Smithfield Fresh Meats Corporation,68,Denver,10/24/2019,Closure,"Various: General Labor, Crew Leaders, Equipment Operators, Forklift Operations and others.",12/31/19 to 3/26/20
HomeAdvisor,229,Pikes Peak,11-1-19 received 11/19/19 via Local Area/Suthers office,Closure,Various: Predominately Sales Consultants and Project Advisors,1/1/20 to 1/14/20
Jagged Peak Energy Inc,92,Denver,12/10/2019,Closure/Sale of Company/Restructuring,Various: Request WARN notification for specifics.,Closure 1/10/20- 04/10/20
S4 Inc.,77,Pikes Peak,1/26/2020,Loss of Contract,Various: IT positions,Downsize 1/26/20
Zahn Dental,54,Jefferson (Golden),1/7/2020,Reorganization and relocation,"Various: Customer Care, CAD Scanners, Finishing Technicians, Machine Operators, Finishing Technicians & others",3/9/2020
Geo Reentry Services LLC,196,Pikes Peak (Colo Springs),1/7/2020,Mass Layoff,"Various: Corrections Personnel (136), Rehabilitation Providers/Therapists (23), General Admin (17), Food Service (6), Medical (14)",3/6/2020
ACME Brick Company,42,Pikes Peak (Castle Rock),10/29/2018,Closure,,
"Advantage Logistics USA West LLC - Aurora, CO",272,Arapahoe/Douglas,2/2/2019,Closure (Cease Operations),,
"Advantage Logistics USA West LLC - Fountain, CO",475,Pikes Peak,2/2/2019,Closure (Cease Operations),,
Ameritrade Holding Company,8,Adams,8/9/2018,Reorganization,,
AstraZeneca,210,Boulder & Longmont,1/8/2019,Closure,,
Chipotle Mexican Grill,399,Denver,6/29/2018,Closure,,
"Conagra Brands, Inc.",100,Boulder,05/24/19 - 3/20/2020,Closure,,
Conduent Commercial Solutions LLC,410,Pikes Peak,8/10/2018,Change in business conditions,,
Courtyard Care Center Nursing Home/Family Health West,51,Mesa County,12/1/2018,Closure,,
Covenant Care at Home,67,Adams,3/6/2018,Closure,,
CPI Card Group,79,Arapahoe/Douglas,2/12/2018,Closure,,
Crothall Healthcare/ Patient Transport Dept,65,Adams,10/22/2018,Cease operations,,
Davita Clinical Research,41,Jefferson,2/12/2018,Other,,
Davita Clinical Research,41,Jefferson,6/1/2018,Closure,,
DCT Industrial,55-59,Denver,5/31/2018,Closure,,
Dex YP,39,Arapahoe/Douglas,7/27/2018,Closure,,
Dream Center Education Holdings Inc/The Art Institute,160,Denver,6/29/2018,Closure,,
Dream Center Education Holdings LLC/Art Institute UPDATED to 12/31/18 closure date.,160,Denver,7/20/2018,Closure,,
First Data - Update 1/2/18,149,Arapahoe Douglas,1/2/2018,Reduction in Force,,
Fluor,54,Boulder,1/22/2018,Other-Loss of Contract,,
General Dynamics,75,Pikes Peak,8/1/2018,Ceasing Operations on a contract,,
General Dynamics Update 8-22-18 - Layoff date changed to 12/31/18,75,Colorado Springs,8/22/2018,Ceasing operations on a contract,,
Jackson National Life Insurance Company,370,Denver,2/8/2018,Closure,,
Jackson National Life Insurance Company,156,Pikes Peak,8/13/2018,Closure,,
Media News Group dba Digital First,107,Pikes Peak,9/28/2018,Downsize,,
National Planning Holdings,7,Denver,1/26/2018,Downsize due to sale,,
Northrop Grumman - Update 1/15/18,38,Pikes Peak,1/15/2018,Other-Loss of Contract,,
Northrop Grumman - Updated 1/2/18,85,Pikes Peak,1/2/2018,Other - Loss of Contract,,
Peak Reliability,69,Larimer,1/7/19 & 4/6/2020,Terminate Operations,,
Pura Vida Fitness & Spa,134,Denver,4/15/2019,Closure,,
Sandoz Inc.,65,Broomfield,2/6/2018,Closure,,
