Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
3/7/20,ITA,Italy,Molise,41.597834,14.548702,14,0,0,14,5,2,TRUE,TRUE,ITF2
3/7/20,ITA,Italy,Piemonte,45.060965,7.926836,207,5,0,202,148,38,TRUE,TRUE,ITC1
3/7/20,ITA,Italy,Puglia,40.984631,16.620464,26,2,1,23,11,2,TRUE,TRUE,ITF4
3/7/20,ITA,Italy,Sardegna,40.090225,9.036223,5,0,0,5,2,0,TRUE,TRUE,ITG2
3/7/20,ITA,Italy,Sicilia,37.587635,14.155497,35,0,2,33,8,0,TRUE,TRUE,ITG1
3/7/20,ITA,Italy,Toscana,43.459993,11.136697,113,0,1,112,61,7,TRUE,TRUE,ITI1
3/7/20,ITA,Italy,Trento,46.139153,10.830791,14,0,0,14,7,1,TRUE,TRUE,ITH2
3/7/20,ITA,Italy,Umbria,42.966781,12.49094,24,0,0,24,4,2,TRUE,TRUE,ITI2
3/7/20,ITA,Italy,Valle d'Aosta,45.732414,7.393651,8,0,0,8,1,0,TRUE,TRUE,ITC2
3/7/20,ITA,Italy,Veneto,45.664735,11.84235,543,13,25,505,164,41,TRUE,TRUE,ITH3
3/8/20,ITA,Italy,Abruzzo,42.228034,13.855137,17,0,0,17,14,0,TRUE,TRUE,ITF1
3/8/20,ITA,Italy,Basilicata,40.500665,16.082246,4,0,0,4,2,0,TRUE,TRUE,ITF5
3/8/20,ITA,Italy,Bolzano,46.697344,11.417082,9,0,0,9,8,0,TRUE,TRUE,ITH1
3/8/20,ITA,Italy,Calabria,39.225585,16.418474,9,0,0,9,5,0,TRUE,TRUE,ITF6
3/8/20,ITA,Italy,Campania,41.059945,14.785097,101,0,1,100,37,7,TRUE,TRUE,ITF3
3/8/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,1180,56,27,1097,617,75,TRUE,TRUE,ITH5
3/8/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,57,1,3,53,8,1,TRUE,TRUE,ITH4
3/8/20,ITA,Italy,Lazio,41.981132,12.767224,87,3,3,81,55,8,TRUE,TRUE,ITI4
3/8/20,ITA,Italy,Liguria,44.144781,8.140492,78,6,5,67,50,11,TRUE,TRUE,ITC3
3/8/20,ITA,Italy,Lombardia,45.622479,9.770824,4189,267,550,3372,2616,399,TRUE,TRUE,ITC4
3/8/20,ITA,Italy,Marche,43.366624,13.106678,272,7,0,265,151,41,TRUE,TRUE,ITI3
